IID	HOM_CT	HET_CT
SRR23500664_hapA	29716	28122
SRR23500665_hapA	49027	50431
SRR23500666_hapA	33403	46183
SRR23500667_hapA	4419	27687
SRR23500668_hapA	5297	61304
SRR23500669_hapA	5773	35675
SRR23500670_hapA	29883	40558
SRR23500671_hapA	27248	125391
SRR23500673_hapA	6789	41561
SRR23500674_hapA	6930	44164
SRR23500675_hapA	6723	41721
SRR23500676_hapA	6359	33169
SRR23500677_hapA	4938	458561
SRR23500678_hapA	14498	31568
SRR23500679_hapA	14062	25068
SRR23500680_hapA	11085	19195
SRR23500683_hapA	27142	39673
SRR23500684_hapA	29010	42850
SRR23500685_hapA	30638	46219
SRR23500686_hapA	29804	35145
SRR23500687_hapA	30191	43512
SRR23500690_hapA	10305	46507
SRR23500691_hapA	8412	35811
SRR23500692_hapA	8124	33058
SRR23500693_hapA	3354	17902
SRR23500695_hapA	32799	31993
SRR23500696_hapA	39997	41089
SRR23500697_hapA	3315	76648
SRR23500698_hapA	6078	18748
SRR23500699_hapA	6752	23624
SRR23500700_hapA	6963	24415
SRR23500701_hapA	7340	26458
SRR23500702_hapA	7681	29861
SRR23500703_hapA	38030	61581
SRR23500704_hapA	6088	25286
SRR23500705_hapA	27486	44412
SRR23500706_hapA	32618	52564
SRR23500707_hapA	25376	40881
SRR23500708_hapA	2076	5015
SRR23500709_hapA	7382	33709
SRR23500710_hapA	27471	40822
SRR23500711_hapA	19480	22884
SRR23500712_hapA	25320	38072
SRR23500713_hapA	25981	38739
SRR23500714_hapA	9586	24323
SRR23500715_hapA	7250	21547
SRR23500719_hapA	27488	25287
SRR23500720_hapA	24513	21801
SRR23500721_hapA	4941	23531
SRR23500722_hapA	5068	8874
SRR23500723_hapA	3606	20896
SRR23500730_hapA	4763	23299
SRR23500740_hapA	11286	14554
SRR23500741_hapA	21312	42762
SRR23500743_hapA	4871	7634
SRR23500745_hapA	16807	23054
SRR23500747_hapA	11952	25937
SRR23500748_hapA	11056	23168
SRR23500749_hapA	13858	29588
SRR23500750_hapA	28035	22403
SRR23500751_hapA	23015	18527
SRR23500752_hapA	3110	32270
SRR23500753_hapA	6011	36365
SRR23500754_hapA	11163	24049
SRR23500755_hapA	6810	9216
SRR23500756_hapA	28815	29395
SRR23500757_hapA	29109	43858
SRR23500758_hapA	27952	43408
SRR23500759_hapA	11104	32836
SRR23500761_hapA	20407	28482
SRR23500762_hapA	25783	36001
SRR23500763_hapA	26863	34367
SRR23500764_hapA	23147	27413
SRR23500765_hapA	30808	38033
SRR23500766_hapA	26989	31861
SRR23500767_hapA	28015	31689
SRR23500768_hapA	24558	29994
SRR23500769_hapA	23044	38221
SRR23500770_hapA	23118	40253
SRR23500771_hapA	21459	37126
SRR23500772_hapA	18930	383735
SRR23500773_hapA	5787	27242
SRR23500774_hapA	6536	32881
SRR23500775_hapA	6608	34342
SRR23500776_hapA	7443	41476
SRR23500777_hapA	7416	42352
SRR23500779_hapA	1863	55938
SRR23500780_hapA	5859	397121
SRR23500781_hapA	11360	34513
SRR23500783_hapA	6838	44958
SRR23500784_hapA	7281	48455
SRR23500785_hapA	3467	7511
SRR23500786_hapA	33370	54619
SRR23500787_hapA	29667	44852
SRR23500788_hapA	30515	38137
SRR23500789_hapA	31763	49590
SRR23500790_hapA	4854	21726
SRR23500792_hapA	23168	44656
SRR23500793_hapA	9419	32929
SRR23500794_hapA	8875	28828
SRR23500795_hapA	9431	33050
SRR23500796_hapA	11007	44477
SRR23500797_hapA	7479	55459
SRR23500798_hapA	11609	44214
SRR23500799_hapA	27121	36433
SRR23500801_hapA	17358	25672
SRR23500802_hapA	6984	12638
SRR23500803_hapA	7551	15026
SRR23921795_hapA	17687	58628
SRR24010553_hapA	37210	80977
SRR25130063_hapA	10038	65097
SRR25130075_hapA	10127	77373
SRR25130085_hapA	12865	74098
SRR25168907_hapA	19929	20533
SRR25169055_hapA	8398	13143
SRR25361690_hapA	13507	70164
SRR25621433_hapA	285	25
SRR25726575_hapA	53237	101406
SRR25726576_hapA	53181	101692
SRR25726577_hapA	52970	101613
SRR25726578_hapA	53621	101011
SRR25726579_hapA	53398	100813
SRR25726580_hapA	53398	101032
SRR25726581_hapA	48235	95005
SRR25726582_hapA	192	882
SRR25726583_hapA	52747	101295
SRR25726584_hapA	53149	100978
SRR25726585_hapA	53991	100518
SRR25726586_hapA	53214	101167
SRR25726588_hapA	53740	100892
SRR25726589_hapA	52921	101530
SRR25726590_hapA	53269	101287
SRR25726591_hapA	53767	100885
SRR25726592_hapA	53435	101272
SRR28960502_hapA	52	258
SRR28960503_hapA	42	197
SRR28960504_hapA	30	77
SRR28960505_hapA	51	61
SRR28960506_hapA	146	665
SRR28960507_hapA	55	219
SRR28960508_hapA	125	178
SRR3593469_hapA	11294	63961
SRR392813_hapA	17853	55657
SRR393515_hapA	64466	57291
SRR393516_hapA	13361	67043
SRR393517_hapA	32094	28228
SRR393519_hapA	52300	60899
SRR393527_hapA	62081	63122
SRR393528_hapA	9183	74711
SRR397731_hapA	14551	58923
SRR530262_hapA	67254	57720
SRR530263_hapA	621	3582
SRR538771_hapA	51594	96524
SRR538773_hapA	17096	61321
SRR538774_hapA	10287	73784
SRR538779_hapA	8992	77045
SRR538782_hapA	57324	73378
SRR538785_hapA	7543	70619
SRR538786_hapA	12965	71315
SRR540283_hapA	61452	66425
SRR540285_hapA	12766	67184
SRR543720_hapA	15812	62408
SRR543721_hapA	52967	84894
SRR543723_hapA	73097	50290
SRR543724_hapA	54938	80703
SRR543726_hapA	57067	74863
SRR543727_hapA	63175	63773
SRR543730_hapA	54317	81365
SRR640897_hapA	17582	48421
SRR641726_hapA	60026	70985
SRR646260_hapA	56806	73707
SRR6669848_hapA	54633	81767
SRR6669849_hapA	57454	74359
SRR6669850_hapA	56797	71532
SRR6669851_hapA	8646	75494
SRR6669852_hapA	52453	78067
SRR6669853_hapA	52788	74595
SRR6669854_hapA	31851	62787
SRR6669855_hapA	47555	86453
SRR6669856_hapA	48121	95905
SRR6669857_hapA	54523	74831
SRR6669858_hapA	49562	87798
SRR6669859_hapA	101278	37022
SRR6669860_hapA	101456	37186
SRR6669861_hapA	47576	89110
SRR6669862_hapA	46554	84934
SRR6669863_hapA	57671	67254
SRR6669864_hapA	46975	90836
SRR6669865_hapA	50103	86748
SRR6669866_hapA	8629	77378
SRR6669867_hapA	100982	36337
SRR6669868_hapA	101099	36779
SRR6669869_hapA	101611	36939
SRR6669870_hapA	101560	36979
SRR6669871_hapA	101512	36987
SRR6669872_hapA	101228	36969
SRR6669873_hapA	101412	36815
SRR6669874_hapA	101406	37389
SRR6669875_hapA	58276	74600
SRR6669876_hapA	17280	67018
SRR6669877_hapA	46011	84889
SRR6669878_hapA	8705	80386
SRR6669879_hapA	54078	73218
SRR6669880_hapA	930	2207
SRR6669881_hapA	45006	83751
SRR6669882_hapA	6127	61036
SRR6669883_hapA	45130	69251
SRR6669884_hapA	8708	80443
SRR6669885_hapA	101601	36702
SRR6669886_hapA	101803	36942
SRR6669887_hapA	14124	70752
SRR6669888_hapA	16705	64653
SRR6669889_hapA	52036	77068
SRR6669890_hapA	101336	37007
SRR6669891_hapA	53945	75770
SRR6669892_hapA	12251	68136
SRR6669893_hapA	53922	86768
SRR6669894_hapA	63634	92402
SRR6669895_hapA	51033	79671
SRR6669896_hapA	8489	73246
SRR6669897_hapA	51419	84002
SRR6669898_hapA	59444	88209
SRR6669899_hapA	44	216
SRR6669900_hapA	12619	56597
SRR6669901_hapA	45559	79081
SRR6669902_hapA	13033	48326
SRR6669903_hapA	55399	75373
SRR6669904_hapA	55344	82982
SRR6669905_hapA	60417	74934
SRR6669906_hapA	63892	63968
SRR6669907_hapA	51488	74817
SRR6669908_hapA	54952	93264
SRR6669909_hapA	13217	70228
SRR6669910_hapA	65844	64211
SRR6669911_hapA	40489	101322
SRR6669912_hapA	14506	64103
SRR6669913_hapA	14149	69841
SRR6669914_hapA	61491	71556
SRR6669915_hapA	41020	94561
SRR6669916_hapA	4954	53731
SRR6669917_hapA	48943	89356
SRR6669918_hapA	67975	59487
SRR6669919_hapA	67852	91490
SRR6669920_hapA	56528	76853
SRR6669921_hapA	35313	60537
SRR6669922_hapA	40199	93715
SRR6669923_hapA	6426	50174
SRR6669924_hapA	6659	48283
SRR6669925_hapA	55802	88679
SRR6669926_hapA	47402	102970
SRR6669927_hapA	8783	78107
SRR6669928_hapA	25044	49287
SRR6669929_hapA	10251	54282
SRR6669930_hapA	6220	76705
SRR6669931_hapA	58807	74432
SRR6669932_hapA	9456	76887
SRR6669933_hapA	13119	63975
SRR6669934_hapA	11415	76463
SRR6669935_hapA	59695	71443
SRR6669936_hapA	54532	79370
SRR6669937_hapA	50844	84368
SRR6669938_hapA	55430	66094
SRR6669939_hapA	5208	83339
SRR6669940_hapA	53515	77830
SRR6669941_hapA	60071	68447
SRR6669942_hapA	51113	74383
SRR6669943_hapA	41623	86229
SRR6669944_hapA	51836	97498
SRR6669945_hapA	17197	57289
SRR6669946_hapA	57723	71470
SRR6669947_hapA	55562	68721
SRR6669948_hapA	11731	65117
SRR6669949_hapA	56182	79963
SRR6669950_hapA	17838	62578
SRR6669951_hapA	13453	65954
SRR6669952_hapA	18335	63557
SRR6669953_hapA	64179	59899
SRR6669954_hapA	51488	91239
SRR6669955_hapA	49518	100751
SRR6669956_hapA	36852	84569
SRR6669957_hapA	55133	82048
SRR6669958_hapA	46364	78924
SRR6669959_hapA	46507	101851
SRR6669960_hapA	92281	33326
SRR6669961_hapA	88920	31986
SRR6669962_hapA	5107	86803
SRR6669963_hapA	55833	76043
SRR6669964_hapA	60556	68338
SRR6669965_hapA	48763	88966
SRR6669966_hapA	20106	35389
SRR6669967_hapA	49836	74444
SRR6669968_hapA	7638	77635
SRR6669969_hapA	45883	85894
SRR6669970_hapA	60	92
SRR6669971_hapA	52039	93604
SRR6669972_hapA	41386	94876
SRR6669973_hapA	100795	37112
SRR6669974_hapA	101315	36960
SRR6669975_hapA	101445	36775
SRR6669976_hapA	101306	37108
SRR6669977_hapA	52889	76321
SRR6669978_hapA	52614	76071
SRR6669979_hapA	51315	83571
SRR6669980_hapA	38061	55444
SRR6669981_hapA	57938	63673
SRR6669982_hapA	48212	86043
SRR6669983_hapA	51654	85837
SRR6669984_hapA	55539	76858
SRR6669985_hapA	67940	90549
SRR6669986_hapA	53502	83579
SRR6669987_hapA	50200	71896
SRR6669988_hapA	56030	72649
SRR6669989_hapA	49479	82135
SRR6669990_hapA	53063	75058
SRR6669991_hapA	51471	84073
SRR6669992_hapA	54132	34061
SRR6669993_hapA	51633	78090
SRR6669994_hapA	49405	103877
SRR6669995_hapA	100499	36910
SRR6669996_hapA	100280	37116
SRR6669997_hapA	100958	37223
SRR6669998_hapA	100552	37083
SRR6669999_hapA	101522	36210
SRR6670000_hapA	101507	36881
SRR6670001_hapA	100849	37122
SRR6670002_hapA	59542	77294
SRR6670003_hapA	59291	77451
SRR6670004_hapA	50490	97658
SRR6670005_hapA	51907	90104
SRR6670006_hapA	60452	68721
SRR6670007_hapA	56629	80326
SRR6670008_hapA	9737	78955
SRR6670009_hapA	43067	90897
SRR6670010_hapA	589	75430
SRR6670011_hapA	33691	52995
SRR6670012_hapA	7846	72963
SRR6670013_hapA	55995	80772
SRR6670014_hapA	49998	87116
SRR6670015_hapA	57310	73370
SRR6670016_hapA	101597	37025
SRR6670017_hapA	100797	36895
SRR6670018_hapA	39194	76477
SRR6670019_hapA	52857	80928
SRR6670020_hapA	6413	71897
SRR6670021_hapA	3196	64295
SRR6670022_hapA	10198	77731
SRR6670023_hapA	101986	36986
SRR6670024_hapA	101572	36834
SRR6670025_hapA	101931	36791
SRR6670026_hapA	101724	37129
SRR6670027_hapA	100752	37251
SRR6670028_hapA	101939	36057
SRR6670029_hapA	101800	37139
SRR755268_hapA	29	77
SRR7801909_hapA	60149	75771
SRR7801910_hapA	59721	76225
SRR7801911_hapA	11300	71130
SRR7801912_hapA	11752	68635
SRR7801913_hapA	67849	59805
SRR7801914_hapA	11475	71215
SRR7801915_hapA	114	137
SRR7801916_hapA	67976	59487
SRR7801917_hapA	59739	76169
SRR7801918_hapA	51420	84000
SRR7801919_hapA	4690	45410
SRR7801920_hapA	8658	80497
SRR7801921_hapA	16781	66901
SRR7801922_hapA	8195	79404
SRR7801923_hapA	16472	66327
SRR7801924_hapA	1948	5349
SRR7801925_hapA	35569	62797
SRR7801926_hapA	51138	84005
SRR8324562_hapA	2826	15438
SRR848046_hapA	65972	100141
SRR9073715_hapA	10536	74735
SRR9073716_hapA	11024	74592
SRR543729_hapA	65972	85682
