Accession,Bioproject,Last_author,Sequencing_technology,Isolate_Name,Country,Continent,Isolation_source,Ropars_Clade,Proposed_final_clade,Mean_coverage,Mean_depth,Aneuploidy,HOM_pos,HOM_ref,HOM_alt,HET_pos,Missing_pos,frac_missing,frac_HET,PASS_Het,For_Sub_Phylo,Intrapop_ID,Intrapop_removed,MAT_type
SRR13587676,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,HX219,China,Asia,Blood,,20,99.736825,74.748925,0,13959783,13901129,58654,102949,221164,0.015483451,0.00720735,1,0,,0,a/α
SRR13587677,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,Z41,China,Asia,Blood,,1,99.87315,198.339875,0,14160333,14149768,10565,93529,30034,0.002102648,0.00654786,1,0,,0,a/α
SRR13587678,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,Z3018,China,Asia,Pleural and Thoracic,,24,99.6684,161.70375,0,14093308,14022485,70823,86696,103892,0.007273366,0.00606949,1,1,,0,a/α
SRR13587679,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,Z2017,China,Asia,Pleural and Thoracic,,1,99.9132375,131.125625,0,14147031,14137105,9926,95051,41814,0.002927353,0.00665442,1,0,,0,a/α
SRR13587680,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,Z2016,China,Asia,Blood,,8,99.741725,130.343625,"chr2,chr3,chr6,chrR",14077193,14015529,61664,92685,114018,0.007982276,0.00648878,1,0,,0,a/α
SRR13587681,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,Z2014,China,Asia,Blood,,23,99.7543625,128.004125,0,14050782,13997914,52868,114244,118870,0.008321959,0.0079981,1,1,,0,a/α
SRR13587682,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,Z1207,China,Asia,Blood,,8,99.7550125,114.105125,0,14079939,14026214,53725,108848,95109,0.006658477,0.00762033,1,0,,0,a/α
SRR13587683,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,Z1186,China,Asia,Blood,,4,99.5943875,124.18225,0,14049907,13970999,78908,65006,168983,0.011830316,0.004551,1,0,,0,a/α
SRR13587684,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,Z1181,China,Asia,Blood,,8,99.7193875,109.728,0,14072926,14015069,57857,108358,102612,0.007183754,0.00758603,1,0,,0,a/α
SRR13587685,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,Z1179,China,Asia,Blood,,4,99.715525,117.676875,0,14057561,13993166,64395,93749,132586,0.009282201,0.00656327,1,0,,0,a/α
SRR13587686,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,Z1178,China,Asia,Blood,,20,99.8114125,134.84175,0,14075963,14014500,61463,104583,103350,0.007235421,0.00732174,1,0,,0,a/α
SRR13587687,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,GZ124,China,Asia,Blood,,8,99.685325,126.892625,0,14096205,14028137,68068,78245,109446,0.007662195,0.00547785,1,0,,0,a/α
SRR13587688,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,Z1167,China,Asia,Blood,,20,99.817025,138.29575,0,14086986,14025334,61652,104584,92326,0.006463643,0.00732181,1,0,,0,a/α
SRR13587689,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,XN38,China,Asia,Blood,,20,99.6388875,117.6675,0,14081427,14011932,69495,83617,118852,0.008320699,0.00585394,1,0,,0,a/α
SRR13587690,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,XN25,China,Asia,Blood,,8,99.755825,100.64825,0,14072398,14016572,55826,101823,109675,0.007678227,0.00712852,1,0,,0,a/α
SRR13587691,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,XN24,China,Asia,Blood,,1,99.9269875,119.957875,0,14148047,14136433,11614,93486,42363,0.002965787,0.00654485,1,0,,0,a/α
SRR13587692,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,XN21,China,Asia,Blood,,11,99.7554875,116.60325,0,14097529,14042717,54812,98622,87745,0.006142932,0.00690442,1,0,,0,a/a
SRR13587694,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,XN19,China,Asia,Blood,,18,99.7479,122.60175,0,14091179,14031436,59743,100726,91991,0.00644019,0.00705172,1,0,,0,a/α
SRR13587695,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,XN17,China,Asia,Blood,,8,99.84255,128.245,0,14091583,14034471,57112,108422,83891,0.005873118,0.00759051,1,0,,0,a/α
SRR13587696,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,X109,China,Asia,Blood,,22,99.7811,98.82865,0,14026721,13980345,46376,120913,136262,0.009539554,0.00846499,1,1,,0,a/α
SRR13587698,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,G1039,China,Asia,Blood,,26,99.7627125,105.589875,0,14053699,13987481,66218,100729,129468,0.009063914,0.00705193,1,1,,0,a/α
SRR13587699,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,X1004,China,Asia,Blood,,18,99.80735,145.585625,0,14086485,14029302,57183,106986,90425,0.006330556,0.00748997,1,0,,0,a/α
SRR13587700,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,W364,China,Asia,Blood,,18,99.791275,132.378875,0,14094461,14041409,53052,115602,73833,0.005168968,0.00809317,1,1,,0,a/α
SRR13587701,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,W363,China,Asia,Blood,,1,99.9837,128.576125,0,14066216,14047858,18358,169588,48092,0.003366869,0.01187267,1,0,,0,a/α
SRR13587702,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,W3057,China,Asia,Blood,,18,99.817475,122.149,0,14086915,14034373,52542,116226,80755,0.00565357,0.00813686,1,0,,0,a/α
SRR13587703,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,W3039,China,Asia,Blood,,1,99.961525,105.368563,0,14147172,14130876,16296,87362,49362,0.00345578,0.00611612,1,0,,0,a/α
SRR13587704,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,W334,China,Asia,Pleural and Thoracic,,1,99.902275,98.3351875,0,14138301,14126549,11752,92816,52779,0.003695,0.00649795,1,0,,0,a/α
SRR13587705,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,X168,China,Asia,Blood,,23,99.6904625,134.820875,0,14087358,14032465,54893,110706,85832,0.006009005,0.00775041,1,0,,0,a/α
SRR13587706,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,GZ340,China,Asia,Blood,,18,99.7263625,111.01425,0,14058362,13996803,61559,98577,126957,0.008888121,0.00690127,1,0,,0,a/α
SRR13587707,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,X160,China,Asia,Blood,,1,99.8761,113.267,0,14010896,13991984,18912,82846,190154,0.013312474,0.00579996,1,0,,0,a/α
SRR13587709,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,SF64,China,Asia,Blood,,19,99.570975,131.606625,0,14057188,13999984,57204,119607,107101,0.007498024,0.00837356,1,0,,0,a/α
SRR13587710,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,SF61,China,Asia,Blood,,19,99.6114375,119.419375,0,14050787,13993893,56894,119744,113365,0.00793656,0.00838315,1,0,,0,a/α
SRR13587711,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,SF57,China,Asia,Blood,,20,99.6862875,116.083875,0,14083622,14024007,59615,100200,100074,0.007006072,0.00701489,1,0,,0,a/α
SRR13587712,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,SF53,China,Asia,Blood,,20,99.6949125,137.70575,chrRR,13962172,13895490,66682,87910,233814,0.016369063,0.00615448,1,0,,0,a/α
SRR13587713,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,SF50,China,Asia,Blood,,19,99.62405,112.873,0,14066582,13998869,67713,93681,123633,0.008655412,0.0065585,1,1,,0,a/α
SRR13587714,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,SF46,China,Asia,Blood,,20,99.688425,133.60425,0,14091908,14027903,64005,96069,95919,0.006715185,0.00672569,1,0,,0,a/α
SRR13587715,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,SF44,China,Asia,Blood,,20,99.68355,88.853575,0,13996303,13937419,58884,99057,188536,0.0131992,0.00693487,1,0,,0,a/α
SRR13587716,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,SF42,China,Asia,Blood,,20,99.676375,135.81525,0,14109175,14041511,67664,84772,89949,0.006297232,0.0059348,1,0,,0,a/α
SRR13587717,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,GZ323,China,Asia,Blood,,20,99.7815125,135.527125,0,14099783,14035950,63833,98885,85228,0.005966719,0.00692283,1,0,,0,a/α
SRR13587718,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,SF40,China,Asia,Blood,,21,99.6029375,37.3506375,0,10925263,10883953,41310,77270,3281363,0.229724649,,0,0,,0,α/α
SRR13587719,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,SF36,China,Asia,Blood,,20,99.6421625,139.213,0,14092582,14033570,59012,97893,93421,0.006540302,0.00685338,1,0,,0,a/α
SRR13587720,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,SF35,China,Asia,Blood,,25,99.694675,131.04725,0,14114836,14035944,78892,70781,98279,0.006880406,0.0049553,1,0,,0,a/α
SRR13587721,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,SF26,China,Asia,Blood,,20,99.6686375,124.893375,0,14093865,14033263,60602,96977,93054,0.006514609,0.00678925,1,0,,0,a/α
SRR13587722,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,SF25,China,Asia,Blood,,4,99.6100875,115.464,0,14085600,14014416,71184,79976,118320,0.008283454,0.00559903,1,0,,0,a/α
SRR13587723,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,SF17,China,Asia,Blood,,20,99.61025,130.92275,0,14077638,14014713,62925,111211,95047,0.006654137,0.00778576,1,0,,0,a/a
SRR13587724,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,NX235,China,Asia,Blood,,20,99.720775,139.508625,0,14109793,14045634,64159,95436,78667,0.005507391,0.00668137,1,0,,0,a/α
SRR13587725,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,NX222,China,Asia,Blood,,20,99.659725,142.158625,0,14082807,14020159,62648,98417,102672,0.007187955,0.00689007,1,0,,0,a/α
SRR13587726,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,NX217,China,Asia,Blood,,8,99.764575,101.430113,0,14065628,14000416,65212,91632,126636,0.008865648,0.00641506,1,0,,0,a/α
SRR13587727,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,NX209,China,Asia,Blood,,20,99.638975,110.3905,0,14073177,14005094,68083,83676,127043,0.008894142,0.00585807,1,0,,0,a/α
SRR13587728,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,GZ299,China,Asia,Blood,,1,99.915275,187.95575,0,14164884,14148452,16432,84113,34899,0.002443241,0.00588866,1,0,,0,a/α
SRR13587729,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,NX189,China,Asia,Blood,,18,99.76625,112.457875,0,14092695,14033572,59123,103960,87241,0.006107647,0.00727813,1,0,,0,a/α
SRR13587730,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,NX168,China,Asia,Blood,,8,99.818575,121.909125,0,14102621,14041042,61579,97372,83903,0.005873958,0.00681691,1,0,,0,a/α
SRR13587731,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,NX6,China,Asia,Blood,,8,99.7079875,105.205375,0,14085885,14026641,59244,94070,103941,0.007276796,0.00658574,1,0,,0,a/α
SRR13587733,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,NX147,China,Asia,Blood,,25,99.783375,141.120875,0,14111563,14047029,64534,101094,71239,0.004987365,0.00707748,1,0,,0,a/α
SRR13587734,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,NX142,China,Asia,Blood,,18,99.7754375,132.94725,0,14099885,14043154,56731,109603,74408,0.005209223,0.00767319,1,0,,0,a/α
SRR13587735,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,NX141,China,Asia,Blood,,3,99.8000125,113.878875,0,14086750,14026970,59780,104177,92969,0.006508658,0.00729332,1,0,,0,a/α
SRR13587738,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,K1100,China,Asia,Gastrointestinal,,23,99.6568,127.045875,0,14090035,14026156,63879,96425,97436,0.006821388,0.00675061,1,0,,0,a/α
SRR13587739,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,GZ291,China,Asia,Blood,,19,99.7302875,123.097875,0,14040072,13983408,56664,120193,123631,0.008655272,0.00841458,1,0,,0,a/α
SRR13587740,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,K198,China,Asia,Blood,,18,99.659875,120.250125,0,14090468,14029854,60614,99983,93445,0.006541983,0.0069997,1,0,,0,a/α
SRR13587741,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,HB09,China,Asia,Blood,,25,99.7132375,125.022875,0,14094323,14029614,64709,100628,88945,0.006226943,0.00704486,1,0,,0,α/α
SRR13587742,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,HB07,China,Asia,Blood,,25,99.7131,110.786375,0,14072741,14013988,58753,111207,99948,0.006997251,0.00778548,1,1,,0,a/α
SRR13587743,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,GZ433,China,Asia,Blood,,1,99.9766125,291.87975,0,14110606,14106127,4479,158881,14409,0.001008758,0.01112309,1,0,,0,a/α
SRR13587744,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,GZ405,China,Asia,Pleural and Thoracic,,18,99.812825,97.1703875,0,14069109,14012502,56607,105981,108806,0.00761739,0.00741961,1,0,,0,a/α
SRR13587745,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,SD17,China,Asia,Blood,,12,99.702125,99.5735875,0,14005983,13945198,60785,96697,181216,0.012686735,0.00676965,1,0,,0,a/α
SRR13587746,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,GZ403,China,Asia,Blood,,22,99.710975,38.3843125,chr7,10699725,10664465,35260,78906,3505265,0.245399784,,0,0,,0,a/α
SRR13587747,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,GZ402,China,Asia,Blood,,11,99.8748625,133.505875,0,14093386,14047579,45807,117686,72824,0.005098329,0.00823907,1,0,,0,a/α
SRR13587748,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,GX22,China,Asia,Blood,,22,99.8011,80.4508125,chr5,14051785,14000385,51400,106178,125933,0.008816432,0.00743341,1,1,,0,a/α
SRR13587749,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,GX16,China,Asia,Blood,,4,99.7893625,110.2595,chr4,14074407,14006559,67848,88705,120784,0.008455956,0.00621014,1,0,,0,a/α
SRR13587750,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,GX15,China,Asia,Blood,,22,99.8866625,96.9971875,0,14082217,14030959,51258,107012,94667,0.006627534,0.00749179,1,0,,0,a/α
SRR13587751,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,GX13,China,Asia,Blood,,8,99.766375,140.924625,0,14096553,14041040,55513,106055,81288,0.005690884,0.0074248,1,0,,0,a/α
SRR13587752,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,GX11,China,Asia,Blood,,1,99.881475,115.256,0,14145069,14131907,13162,89385,49442,0.003461381,0.00625775,1,0,,0,a/α
SRR13587753,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,GX07,China,Asia,Blood,,20,99.77435,62.169725,0,13986577,13929503,57074,104473,192846,0.013500938,0.00731404,1,0,,0,a/α
SRR13587754,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,GX05,China,Asia,Blood,,22,99.857875,373.043625,0,14122222,14076128,46094,97930,63744,0.004462648,0.00685597,1,0,,0,a/α
SRR13587755,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,GX4,China,Asia,Blood,,18,99.794875,161.968125,0,14072178,14018173,54005,113641,98077,0.006866264,0.00795588,1,0,,0,a/α
SRR13587756,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,NJ46,China,Asia,Blood,,1,99.9117375,108.987,0,13986490,13974969,11521,91880,205526,0.014388651,0.00643242,1,0,,0,a/α
SRR13587757,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,GS09,China,Asia,Blood,,19,99.6804,131.560875,0,14067188,14000621,66567,105048,111660,0.007817195,0.0073543,1,0,,0,a/α
SRR13587758,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,GH265,China,Asia,Blood,,1,99.9501125,128.440375,CNV on chr3,14155388,14143059,12329,89629,38879,0.002721876,0.00627483,1,0,,0,a/α
SRR13587759,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,GH262,China,Asia,Blood,,8,99.7586125,99.20305,0,14078344,14019435,58909,96048,109504,0.007666256,0.00672422,1,0,,0,a/α
SRR13587760,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,GH258,China,Asia,Blood,,3,99.7577875,89.226625,0,14063260,13992529,70731,79856,140780,0.009855854,0.00559063,1,0,,0,a/α
SRR13587761,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,GH257,China,Asia,Blood,,3,99.71,88.4253125,chr7,13935999,13866072,69927,78803,269094,0.018838978,0.00551691,1,1,,0,a/α
SRR13587762,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,FS90,China,Asia,Blood,,22,99.7158375,57.7078875,0,13896557,13845657,50900,103153,284186,0.019895552,0.00722163,1,1,,0,a/α
SRR13587763,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,FS80,China,Asia,Skin,,1,99.966325,110.162375,0,14060167,14042457,17710,85132,138597,0.009703025,0.00596,1,0,,0,a/α
SRR13587764,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,F366,China,Asia,Blood,,20,99.743625,135.057375,0,14099173,14031551,67622,91975,92748,0.006493186,0.00643907,1,0,,0,α/α
SRR13587765,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,FS22,China,Asia,Blood,,20,99.8112125,118.566875,0,14051736,13991908,59828,110283,121877,0.008532476,0.00772079,1,0,,0,a/α
SRR13587766,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,FJ185,China,Asia,Pleural and Thoracic,,8,99.9105,115.3105,0,14099204,14038050,61154,98723,85969,0.006018596,0.00691149,1,0,,0,a/α
SRR13587767,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,NJ38,China,Asia,Blood,,18,99.77785,370.18975,0,14107801,14051863,55938,106793,69302,0.004851758,0.00747646,1,0,,0,a/α
SRR13587768,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,FJ182,China,Asia,Blood,,20,99.6897125,104.498125,0,14054890,13992681,62209,97978,131028,0.009173128,0.00685933,1,0,,0,a/α
SRR13587769,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,DZ03,China,Asia,Blood,,8,99.74755,118.71225,0,14082136,14018109,64027,85829,115931,0.008116203,0.00600879,1,0,,0,a/α
SRR13587770,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,DZ01,China,Asia,Blood,,9,99.91465,127.469625,0,14098318,14038984,59334,115547,70031,0.004902794,0.00808932,1,0,,0,a/α
SRR13587771,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,DL25,China,Asia,Pleural and Thoracic,,12,99.7041625,144.552625,0,14086350,14024893,61457,99428,98118,0.006869134,0.00696085,1,0,,0,a/α
SRR13587772,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,DL04,China,Asia,Blood,,25,99.737575,111.773375,0,14070708,14004900,65808,96971,116217,0.008136226,0.00678883,1,0,,0,a/α
SRR13587773,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,DL03,China,Asia,Blood,,3,99.766775,102.6783,0,14019259,13956875,62384,96712,167925,0.011756246,0.0067707,1,0,,0,a/α
SRR13587774,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,DL02,China,Asia,Blood,,3,99.7754,132.32125,0,14071091,14008012,63079,96899,115906,0.008114453,0.00678379,1,0,,0,a/α
SRR13587775,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,CQ42,China,Asia,Blood,,1,99.7913625,107.1335,0,14127517,14114146,13371,86688,69691,0.004878991,0.00606893,1,0,,0,a/α
SRR13587776,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,QD02,China,Asia,Blood,,1,99.8891875,140.437375,0,14125032,14111856,13176,90873,67991,0.004759976,0.00636192,1,0,,0,a/α
SRR13587777,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,HS83,China,Asia,Blood,,18,99.7279,104.499625,0,14028424,13969313,59111,119559,135913,0.009515121,0.0083702,1,0,,0,a/α
SRR13587778,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,CQ17,China,Asia,Blood,,25,99.7142625,101.33605,0,14041416,13982608,58808,109325,133155,0.009322037,0.00765372,1,0,,0,a/α
SRR13587779,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,GZ111,China,Asia,Blood,,20,99.66985,130.377125,0,14073065,14009446,63619,96670,114161,0.007992287,0.00676776,1,0,,0,a/α
SRR13587780,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,GZ90,China,Asia,Blood,,16,99.746575,123.0935,0,14055987,13981701,74286,112423,115486,0.008085049,0.00787061,1,1,,0,a/α
SRR13587781,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,W324,China,Asia,Blood,,12,99.8382125,108.587125,0,14070306,14011021,59285,99747,113843,0.007970024,0.00698318,1,0,,0,a/α
SRR13587782,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,W322,China,Asia,Blood,,20,99.6635375,92.963625,chr7,13981198,13924399,56799,108642,194056,0.013585649,0.00760591,1,0,,0,α/α
SRR13587783,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,W3014,China,Asia,Blood,,8,99.6693625,100.039475,0,14062241,14010782,51459,110136,111519,0.007807324,0.0077105,1,0,,0,a/α
SRR13587785,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,G1034,China,Asia,Blood,,3,99.826875,162.610375,0,14102545,14043363,59182,104908,76443,0.005351691,0.00734449,1,0,,0,a/α
SRR13587786,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,QD17,China,Asia,Blood,,1,99.8627625,89.3252625,0,14102103,14090533,11570,93776,88017,0.006161974,0.00656516,1,0,,0,a/α
SRR13587787,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,QD015,China,Asia,Blood,,1,99.7750375,132.16425,0,14109965,14096385,13580,90811,83120,0.005819141,0.00635758,1,0,,0,a/α
SRR13587788,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,QD013,China,Asia,Blood,,1,99.8667125,88.648275,0,14102340,14089436,12904,91265,90291,0.006321175,0.00638936,1,0,,0,a/α
SRR13587789,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,QD11,China,Asia,Blood,,1,99.7527,153.1235,0,14114852,14101108,13744,90902,78142,0.005470636,0.00636395,1,0,,0,a/α
SRR13587790,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,NM05,China,Asia,Blood,,12,99.69635,98.885575,0,14037766,13974588,63178,88631,157499,0.011026333,0.00620496,1,1,,0,a/α
SRR13587791,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,NM02,China,Asia,Blood,,1,99.90885,103.832325,0,14142316,14131670,10646,93740,47840,0.003349226,0.00656264,1,0,,0,a/α
SRR13587792,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,LZ018,China,Asia,Blood,,18,99.8642125,55.356375,0,13681017,13652667,28350,198572,404307,0.028305093,0.01390181,1,0,,0,a/α
SRR13587793,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,JS203,China,Asia,Skin,,1,99.9054375,101.945925,0,14140202,14129554,10648,94816,48878,0.003421896,0.00663796,1,0,,0,a/α
SRR13587794,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,JS176,China,Asia,Blood,,1,99.9146,121.36225,0,14141082,14129802,11280,93298,49516,0.003466561,0.00653169,1,0,,0,a/α
SRR13587795,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,JS175,China,Asia,Blood,,27,99.776825,105.667,0,13977679,13910127,67552,88554,217663,0.01523835,0.00619957,1,0,,0,a/α
SRR13587796,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,G1029,China,Asia,Blood,,18,99.6856125,125.39425,0,14058908,14001403,57505,125509,99479,0.006964416,0.00878675,1,0,,0,a/α
SRR13587797,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,JS168,China,Asia,Blood,,1,99.9182125,120.843125,0,14116344,14105518,10826,94059,73493,0.005145165,0.00658497,1,0,,0,a/α
SRR13587798,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,J3050,China,Asia,Blood,,19,99.793925,120.120125,0,14021369,13966571,54798,123433,139094,0.009737819,0.00864141,1,0,,0,a/α
SRR13587799,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,J3046,China,Asia,Blood,,25,99.813825,154.226125,0,14012495,13952194,60301,108798,162603,0.011383659,0.00761683,1,0,,0,a/α
SRR13587800,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,J3046-1,China,Asia,Blood,,25,99.8244375,158.831125,0,14100142,14039496,60646,109602,74152,0.005191301,0.00767312,1,0,,0,a/α
SRR13587801,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,J3035,China,Asia,Blood,,21,99.709825,46.0408125,0,12737915,12693331,44584,84747,1461234,0.102299401,0.00593305,1,0,,0,a/α
SRR13587802,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,J3031,China,Asia,Blood,,18,99.7757625,139.397625,0,14081692,14019259,62433,118030,84174,0.00589293,0.00826315,1,0,,0,a/α
SRR13587803,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,J3014,China,Asia,Blood,,8,99.6773625,113.95825,0,14072317,14015192,57125,99934,111645,0.007816145,0.00699627,1,1,,0,a/α
SRR13587804,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,J2014,China,Asia,Blood,,23,99.765725,118.917,0,14088679,14026519,62160,94113,101104,0.007078181,0.00658875,1,1,,0,a/α
SRR13587805,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,J2013,China,Asia,Blood,,8,99.80295,116.542,0,14059106,13999035,60071,94235,130555,0.009140013,0.00659729,1,0,,0,a/α
SRR13587806,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,J2010,China,Asia,Gastrointestinal,,20,99.6810625,101.720625,chrR,14022539,13960451,62088,97426,163931,0.011476631,0.00682069,1,0,,0,α/α
SRR13587807,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,G102,China,Asia,Blood,,1,99.9112,164.90775,0,14161910,14145467,16443,79592,42394,0.002967958,0.00557215,1,0,,0,a/α
SRR13587808,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,HX660,China,Asia,Blood,,24,99.756975,137.04425,0,14051494,13988243,63251,95706,136696,0.009569938,0.00670027,1,1,,0,a/α
SRR13587809,PRJNA689765,Gong et al. 2023,Illumina HiSeq 2500,HX654,China,Asia,Blood,,20,99.67455,128.2235,0,14073000,14005341,67659,87969,122927,0.008605985,0.00615861,1,0,,0,a/α
